id,title
93194,011
203828,13 Minutes: The Cuban Missile Crisis
36522,2 de Mayo
177997,27: Five Elements
198836,3 Wishes
86073,5 Second Rule
175878,504
73369,51st State
432,6 nimmt!
166341,7 & 7
164369,7 Kingdoms
154173,7 Ronin
68448,7 Wonders
173346,7 Wonders Duel
217,A la carte
112381,Abaddon
192279,Abla Ubla
176013,¡Abordaje!
172818,Above and Below
163930,Abraca...what?
155987,Abyss
123406,Ace Detective
177857,Achaia
5,Acquire
202408,Adrenaline
154253,Adventure IN!
98315,The Adventurers: The Pyramid of Horus
191189,Aeon's End
155695,Age of War
111105,Agents of SMERSH
31260,Agricola
119890,Agricola: All Creatures Big and Small
90419,Airlines Europe
154458,Akrotiri
127282,Al Rashid
53103,Aladdin's Dragons
161970,Alchemists
6249,Alhambra
140709,Alhambra: Family Box
431,Alhambra: The Card Game
25491,Alhambra: The Dice Game
48726,Alien Frontiers
72204,Alien Uprising
192297,America
137408,Amerigo
110277,Among the Stars
170318,Among the Stars: Revival
5404,Amun-Re
217298,Anansi and the Box of Stories
137031,Ancient Terrible Things
147253,The Ancient World
39339,Android
124742,Android: Netrunner
191572,Animals on Board
182074,Antarctica
104955,Antike Duellum
156266,Apex Theropod Deck-Building Game
175481,Aqua Park
34194,Aquaretto
814,Aquarius
159508,AquaSphere
155068,Arcadia Quest
31105,Archaeology: The Card Game
137336,Archer: The Danger Zone! Board Game
105551,Archipelago
139033,Archon: Glory & Machination
56931,Arena: Roma II
15987,Arkham Horror
205637,Arkham Horror: The Card Game
154825,Arkwright
12642,Army of Darkness Card Game
113293,Article 27: The UN Security Council Game
168609,Artifacts, Inc.
166372,Artificium
72991,Asara
200456,Ascension X: War of Shadows
145633,Ascension: Apprentice Edition
144864,Ascension: Darkness Unleashed
69789,Ascension: Deckbuilding Game
215616,Ascension: Gift of the Elements
145553,Asgard's Chosen
167400,Ashes: Rise of the Phoenixborn
140386,Assassin's Creed: Arena
201455,Assault of the Giants
149459,Assaultous
194230,Attack on Titan: Deck-Building Game
